,Galaxy,re (kpc),rotational velocity,rotational velocity mass (solar mass),star formation rate,star formation density,assymetry,eta average vrot
60,7979-12701,5.94333266510643,0.0,0.38953495,0.0,0.38953495,0.0035102373103187054,6.652746816507943
61,7979-12704,6.103536685104231,0.0,-0.6890133,0.0,-0.6890133,-0.005887278970470654,14.815458023112788
62,7979-12705,4.620537008651741,0.0,-0.99692833,0.0,-0.99692833,-0.01486377629987841,2.3949552784760093
63,7979-3703,3.2777661441913666,0.0,-1.1379666,0.0,-1.1379666,-0.03371504355297663,2.9606933158889164
64,7979-6102,3.8546941086026085,0.0,-1.4537736,0.0,-1.4537736,-0.031143475054033115,4.008004726035758
65,7990-12702,6.930403615108616,0.0,-1.0324742,0.0,-1.0324742,-0.006842459929379012,3.147989165223102
66,7990-12703,2.775199587535744,0.0,-0.90454555,0.0,-0.90454555,-0.03738454695618579,4.152810901196438
67,7990-3702,3.1689616071383693,0.0,-0.57236344,0.0,-0.57236344,-0.018142120800352993,2.79206104827242
68,7990-6102,3.474958813617071,0.0,-1.4865031,0.0,-1.4865031,-0.039184709417739064,1.627756477625875
69,7990-9101,4.482199386591048,0.0,-0.31923997,0.0,-0.31923997,-0.005058072504956957,4.3564949711873435
70,7990-9102,4.882701026049036,0.0,-0.59766525,0.0,-0.59766525,-0.007979723947976329,4.701291677347841
71,7991-6102,3.681799067491838,0.0,-1.6147435,0.0,-1.6147435,-0.037916958896147435,0.0
72,7991-6103,3.956996490554422,0.0,-0.2976962,0.0,-0.2976962,-0.006051904867405846,2.956112453905063
73,7992-12703,3.1684974770175365,0.0,-0.6196335,0.0,-0.6196335,-0.019646187410603855,5.1301912864529395
74,7992-3704,5.459741437255176,0.0,-0.39890635,0.0,-0.39890635,-0.004259679515761966,4.694852602632343
75,7993-3701,10.376892118018008,0.0,0.6108433,0.0,0.6108433,0.0018056989239830803,4.181052187212397
76,8077-12702,6.14402145473299,0.0,-0.2543103,0.0,-0.2543103,-0.0021444140659506333,5.591972656117956
77,8077-12703,9.658179629538822,0.0,-0.41111115,0.0,-0.41111115,-0.0014028745031481717,2.841381630409904
78,8077-6102,3.5493682357685326,0.0,-0.41388333,0.0,-0.41388333,-0.01045745353499252,5.918040726032702
79,8077-9101,4.8232484769111235,0.0,0.08676974,0.0,0.08676974,0.0011872416894657515,5.597359545265297
80,8078-12702,5.945907685711132,0.0,-1.5939343,0.0,-1.5939343,-0.014351067878174717,4.319407202977867
81,8078-12704,7.339126337613194,0.0,-0.043333087,0.0,-0.043333087,-0.00025608316552103334,9.47217333699701
82,8078-9101,3.757502768063503,0.0,-0.14002702,0.0,-0.14002702,-0.0031569183112149127,6.486933285727407
83,8079-12701,6.240878194080482,0.0,-0.6700461,0.0,-0.6700461,-0.005475999408482798,3.2740014120795298
84,8079-9102,5.100574616866318,0.0,-0.6118932,0.0,-0.6118932,-0.007486649947000528,4.802910273233953
85,8080-9102,5.670957668689042,0.0,-0.531818,0.0,-0.531818,-0.0052638114748192605,2.65617487466075
86,8081-12703,5.688608076237151,0.0,-0.8213156,0.0,-0.8213156,-0.008078824335015031,2.589765747486286
87,8081-12704,4.897195311129573,0.0,-0.36052004,0.0,-0.36052004,-0.004785030186647589,25.514184256691628
88,8081-1901,2.001391737858104,0.0,0.20589769,0.0,0.20589769,0.01636203788647328,11.252922534372686
89,8082-12703,4.330661638309823,0.0,-0.13768253,0.0,-0.13768253,-0.002336794117960353,22.194527919277725
90,8082-3702,2.6373365016115953,0.0,-0.88488376,0.0,-0.88488376,-0.04049535975295482,3.3296967393444215
91,8083-12701,4.297684220236751,0.0,-0.69942176,0.0,-0.69942176,-0.012053696871248654,2.6764242407329233
92,8083-3703,2.8749506461400447,0.0,-0.31196558,0.0,-0.31196558,-0.012014232342091414,7.248154853917423
93,8083-6101,7.6346123551729725,0.0,-0.5525698,0.0,-0.5525698,-0.0030176112926154925,0.08236819049260007
94,8084-12704,5.325717274086411,0.0,-0.28442603,0.0,-0.28442603,-0.003192002754222875,3.365015404104172
95,8084-12705,5.21407044297834,0.0,-0.37780002,0.0,-0.37780002,-0.004423421378756601,8.20421114433442
96,8085-3701,2.669074180328221,0.0,-0.48626828,0.0,-0.48626828,-0.02172725100818648,6.465792458034557
97,8086-12702,8.48010116391515,0.0,-2.062278,0.0,-2.062278,-0.009128412909190593,28.486494958875554
98,8086-12703,5.340429430135402,0.0,-0.28239417,0.0,-0.28239417,-0.0031517625720796035,6.022482925117594
99,8086-3704,2.7265540869311327,0.0,-0.3176827,0.0,-0.3176827,-0.013602397941978737,4.394254778065448
100,8097-12701,33.41497700314008,0.0,-1.2942445,0.0,-1.2942445,-0.00036896411697680574,
101,8097-3702,3.031056945643165,0.0,-1.3656933,0.0,-1.3656933,-0.0473167736928,
102,8131-12703,5.839894328264878,0.0,0.107209235,0.0,0.107209235,0.0010006273027431817,6.311968363683711
