0.0000,7.6407,8.4284,0.7423
1.0000,4.6045,4.8876,1.9760
2.0000,7.2382,7.7024,4.0491
3.0000,17.4948,18.5179,1.7272
4.0000,3.7495,3.3836,2.3491
5.0000,3.3510,3.6687,1.8324
6.0000,5.3415,2.7170,1.9898
7.0000,3.8196,4.0619,3.5066
8.0000,8.0186,3.1585,1.8454
9.0000,7.9225,3.8169,1.6482
10.0000,11.0469,10.8107,1.0760
11.0000,25.6966,26.2368,3.9099
12.0000,7.0676,6.9013,1.4106
13.0000,5.1614,3.3508,2.6756
14.0000,10.3104,13.7950,0.6884
15.0000,10.4161,13.4922,0.9869
16.0000,4.7336,1.8999,1.5246
17.0000,3.7272,3.9041,3.2410
18.0000,12.9836,15.2985,1.2419
19.0000,4.9160,5.3544,1.5799
20.0000,9.6580,10.5309,1.0978
21.0000,5.6208,6.2413,1.3691
22.0000,7.0668,3.7911,1.6541
23.0000,4.8449,3.9578,2.3063
24.0000,3.4768,2.7851,5.4302
25.0000,6.8524,2.1527,2.1952
26.0000,5.9849,4.6206,1.7712
27.0000,17.3963,8.3579,2.7268
28.0000,20.0332,15.9929,6.2372
29.0000,4.1409,2.9651,3.6406
30.0000,6.1905,5.1566,1.9774
31.0000,5.6273,4.8756,3.5495
32.0000,17.5198,5.3642,0.6951
33.0000,8.3992,3.1229,0.6359
34.0000,5.3191,5.5963,24.3048
35.0000,5.3583,5.0651,1.5818
36.0000,4.9847,4.1474,1.1847
37.0000,7.6257,9.1174,1.3254
38.0000,5.8759,6.5481,2.2627
39.0000,7.0045,2.7076,0.8135
40.0000,5.6000,3.7328,1.4046
41.0000,27.8586,29.4599,1.8489
42.0000,11.4220,11.4220,13.4060
43.0000,19.4750,21.3558,inf
44.0000,3.0172,3.3664,4.0418
45.0000,13.7442,3.2008,0.4709
46.0000,6.2956,7.0043,3.1156
47.0000,4.0050,3.1324,1.9128
48.0000,4.3541,3.5035,1.2706
49.0000,7.2788,7.8322,1.2567
50.0000,5.5694,6.1800,2.5036
51.0000,21.3020,25.0078,inf
52.0000,8.0431,6.1022,1.3242
53.0000,6.2550,5.4072,2.9784
54.0000,9.6107,6.2328,1.2770
55.0000,5.7228,5.0341,1.5082
56.0000,5.2219,3.3889,0.9102
57.0000,5.6515,4.5524,0.9496
58.0000,7.3468,6.6775,2.8465
59.0000,6.5030,5.7323,0.8262
60.0000,7.5836,7.7115,0.5721
61.0000,7.2493,7.9243,26.5600
62.0000,6.4536,7.0721,1.0633
