#Column 1: Rest Wavelength (microns)
#Column 2: Luminosity (W/Hz)
#Column 3: DLnu (W/Hz)
wavelength luminosity  uncertainty
  17.253   2.006E+24   3.812E+23
  17.348   1.970E+24   2.718E+23
  17.400   1.733E+24   2.702E+23
  17.500   1.757E+24   2.626E+23
  17.600   1.781E+24   2.617E+23
  17.700   1.806E+24   2.608E+23
  17.800   1.830E+24   2.336E+23
  17.900   1.855E+24   2.160E+23
  18.000   1.880E+24   2.402E+23
  18.100   1.905E+24   2.644E+23
  18.200   1.930E+24   2.886E+23
  18.300   1.956E+24   3.129E+23
  18.400   1.981E+24   3.371E+23
  18.500   2.007E+24   3.613E+23
  18.600   2.033E+24   3.855E+23
  18.700   2.059E+24   4.097E+23
  18.800   2.086E+24   4.339E+23
  18.900   2.113E+24   4.581E+23
  19.000   2.139E+24   4.823E+23
  19.100   2.166E+24   5.065E+23
  19.200   2.194E+24   5.307E+23
  19.300   2.221E+24   5.549E+23
  19.400   2.249E+24   5.791E+23
  19.500   2.277E+24   6.033E+23
  19.600   2.305E+24   6.275E+23
  19.700   2.333E+24   6.518E+23
  19.800   2.361E+24   6.760E+23
  19.900   2.390E+24   7.002E+23
  20.000   2.419E+24   7.244E+23
  20.100   2.448E+24   7.486E+23
  20.200   2.477E+24   7.728E+23
  20.300   2.507E+24   7.970E+23
  20.400   2.536E+24   8.212E+23
  20.500   2.566E+24   8.454E+23
  20.600   2.596E+24   8.696E+23
  20.700   2.627E+24   8.938E+23
  20.800   2.657E+24   9.180E+23
  20.900   2.688E+24   9.422E+23
  21.000   2.719E+24   9.665E+23
  21.100   2.750E+24   9.907E+23
  21.200   2.781E+24   1.015E+24
  21.300   2.813E+24   1.039E+24
  21.400   2.844E+24   1.063E+24
  21.500   2.876E+24   1.087E+24
  21.600   2.908E+24   1.112E+24
  21.700   2.941E+24   1.136E+24
  21.800   2.973E+24   1.160E+24
  21.900   3.006E+24   1.184E+24
  22.000   3.039E+24   1.209E+24
  22.100   3.072E+24   1.233E+24
  22.200   3.105E+24   1.257E+24
  22.300   3.139E+24   1.281E+24
  22.400   3.173E+24   1.305E+24
  22.500   3.207E+24   1.330E+24
  22.600   3.241E+24   1.354E+24
  22.700   3.275E+24   1.378E+24
  22.800   3.310E+24   1.402E+24
  22.900   3.345E+24   1.426E+24
  23.000   3.380E+24   1.451E+24
  23.100   3.415E+24   1.451E+24
  23.100   3.462E+24   1.464E+24
  23.200   3.510E+24   1.478E+24
  23.300   3.558E+24   1.492E+24
  23.400   3.606E+24   1.505E+24
  23.500   3.653E+24   1.518E+24
  23.600   3.701E+24   1.531E+24
  23.700   3.748E+24   1.544E+24
  23.800   3.796E+24   1.557E+24
  23.900   3.843E+24   1.570E+24
  24.000   3.890E+24   1.582E+24
  24.100   3.937E+24   1.594E+24
  24.200   3.984E+24   1.607E+24
  24.300   4.031E+24   1.619E+24
  24.400   4.078E+24   1.630E+24
  24.500   4.124E+24   1.642E+24
  24.600   4.171E+24   1.654E+24
  24.700   4.217E+24   1.665E+24
  24.800   4.263E+24   1.676E+24
  24.900   4.309E+24   1.687E+24
  25.000   4.354E+24   1.698E+24
  25.100   4.400E+24   1.709E+24
  25.200   4.445E+24   1.719E+24
  25.300   4.490E+24   1.730E+24
  25.400   4.535E+24   1.740E+24
  25.500   4.580E+24   1.750E+24
  25.600   4.624E+24   1.760E+24
  25.700   4.668E+24   1.770E+24
  25.800   4.712E+24   1.779E+24
  25.900   4.756E+24   1.789E+24
  26.000   4.799E+24   1.798E+24
  26.100   4.842E+24   1.807E+24
  26.200   4.885E+24   1.816E+24
  26.300   4.928E+24   1.825E+24
  26.400   4.970E+24   1.833E+24
  26.500   5.012E+24   1.842E+24
  26.600   5.054E+24   1.850E+24
  26.700   5.096E+24   1.858E+24
  26.800   5.137E+24   1.866E+24
  26.900   5.178E+24   1.874E+24
  27.000   5.218E+24   1.881E+24
  27.100   5.259E+24   1.889E+24
  27.200   5.299E+24   1.896E+24
  27.300   5.339E+24   1.903E+24
  27.400   5.378E+24   1.910E+24
  27.500   5.417E+24   1.917E+24
  27.600   5.456E+24   1.923E+24
  27.700   5.495E+24   1.930E+24
  27.800   5.533E+24   1.936E+24
  27.900   5.571E+24   1.942E+24
  28.000   5.608E+24   1.948E+24
  28.100   5.646E+24   1.954E+24
  28.200   5.683E+24   1.960E+24
  28.300   5.719E+24   1.965E+24
  28.400   5.756E+24   1.971E+24
  28.500   5.791E+24   1.976E+24
  28.600   5.827E+24   1.981E+24
  28.700   5.862E+24   1.986E+24
  28.800   5.897E+24   1.991E+24
  28.900   5.932E+24   1.996E+24
  29.000   5.966E+24   2.000E+24
  29.100   6.000E+24   2.004E+24
  29.200   6.034E+24   2.009E+24
  29.300   6.067E+24   2.013E+24
  29.400   6.100E+24   2.017E+24
  29.500   6.133E+24   2.020E+24
  29.600   6.165E+24   2.024E+24
  29.700   6.197E+24   2.028E+24
  29.800   6.228E+24   2.031E+24
  29.900   6.260E+24   2.034E+24
  30.000   6.291E+24   2.037E+24
  30.100   6.321E+24   2.040E+24
  30.200   6.351E+24   2.043E+24
  30.300   6.381E+24   2.046E+24
  30.400   6.411E+24   2.049E+24
  30.500   6.440E+24   2.051E+24
  30.600   6.469E+24   2.054E+24
