#Column 1: Rest Wavelength (microns)
#Column 2: Luminosity (W/Hz)
#Column 3: DLnu (W/Hz)
wavelength luminosity  uncertainty
 247.000   1.567E+25   1.270E+24
 247.100   1.565E+25   1.268E+24
 247.200   1.564E+25   1.267E+24
 247.300   1.563E+25   1.266E+24
 247.400   1.562E+25   1.265E+24
 247.500   1.560E+25   1.263E+24
 247.600   1.559E+25   1.262E+24
 247.700   1.558E+25   1.261E+24
 247.800   1.557E+25   1.259E+24
 247.900   1.555E+25   1.258E+24
 248.000   1.554E+25   1.257E+24
 248.100   1.553E+25   1.256E+24
 248.200   1.552E+25   1.254E+24
 248.300   1.550E+25   1.253E+24
 248.400   1.549E+25   1.252E+24
 248.500   1.548E+25   1.251E+24
 248.600   1.547E+25   1.249E+24
 248.700   1.545E+25   1.248E+24
 248.800   1.544E+25   1.247E+24
 248.900   1.543E+25   1.246E+24
 249.000   1.542E+25   1.244E+24
 249.100   1.540E+25   1.243E+24
 249.200   1.539E+25   1.242E+24
 249.300   1.538E+25   1.241E+24
 249.400   1.537E+25   1.239E+24
 249.500   1.535E+25   1.238E+24
 249.600   1.534E+25   1.237E+24
 249.700   1.533E+25   1.236E+24
 249.800   1.532E+25   1.234E+24
 249.900   1.530E+25   1.233E+24
 250.000   1.529E+25   1.232E+24
 250.100   1.528E+25   1.231E+24
 250.200   1.527E+25   1.230E+24
 250.300   1.526E+25   1.228E+24
 250.400   1.524E+25   1.227E+24
 250.500   1.523E+25   1.226E+24
 250.600   1.522E+25   1.225E+24
 250.700   1.521E+25   1.223E+24
 250.800   1.519E+25   1.222E+24
 250.900   1.518E+25   1.221E+24
 251.000   1.517E+25   1.220E+24
 251.100   1.516E+25   1.219E+24
 251.200   1.515E+25   1.217E+24
 251.300   1.513E+25   1.216E+24
 251.400   1.512E+25   1.215E+24
 251.500   1.511E+25   1.214E+24
 251.600   1.510E+25   1.212E+24
 251.700   1.509E+25   1.211E+24
 251.800   1.507E+25   1.210E+24
 251.900   1.506E+25   1.209E+24
 252.000   1.505E+25   1.208E+24
 252.100   1.504E+25   1.206E+24
 252.200   1.503E+25   1.205E+24
 252.300   1.501E+25   1.204E+24
 252.400   1.500E+25   1.203E+24
 252.500   1.499E+25   1.202E+24
 252.600   1.498E+25   1.200E+24
 252.700   1.497E+25   1.199E+24
 252.800   1.495E+25   1.198E+24
 252.900   1.494E+25   1.197E+24
 253.000   1.493E+25   1.196E+24
 253.100   1.492E+25   1.194E+24
 253.200   1.491E+25   1.193E+24
 253.300   1.489E+25   1.192E+24
 253.400   1.488E+25   1.191E+24
 253.500   1.487E+25   1.190E+24
 253.600   1.486E+25   1.189E+24
 253.700   1.485E+25   1.187E+24
 253.800   1.483E+25   1.186E+24
 253.900   1.482E+25   1.185E+24
 254.000   1.481E+25   1.184E+24
 254.100   1.480E+25   1.183E+24
 254.200   1.479E+25   1.181E+24
 254.300   1.477E+25   1.180E+24
 254.400   1.476E+25   1.179E+24
 254.500   1.475E+25   1.178E+24
 254.600   1.474E+25   1.177E+24
 254.700   1.473E+25   1.176E+24
 254.800   1.472E+25   1.174E+24
 254.900   1.470E+25   1.173E+24
 255.000   1.469E+25   1.172E+24
 255.100   1.468E+25   1.171E+24
 255.200   1.467E+25   1.170E+24
 255.300   1.466E+25   1.169E+24
 255.400   1.464E+25   1.168E+24
 255.500   1.463E+25   1.166E+24
 255.600   1.462E+25   1.165E+24
 255.700   1.461E+25   1.164E+24
 255.800   1.460E+25   1.163E+24
 255.900   1.459E+25   1.162E+24
 256.000   1.457E+25   1.161E+24
 256.100   1.456E+25   1.159E+24
 256.200   1.455E+25   1.158E+24
 256.300   1.454E+25   1.157E+24
 256.400   1.453E+25   1.156E+24
 256.500   1.452E+25   1.155E+24
 256.600   1.450E+25   1.154E+24
 256.700   1.449E+25   1.153E+24
 256.800   1.448E+25   1.151E+24
 256.900   1.447E+25   1.150E+24
 257.000   1.446E+25   1.149E+24
 257.100   1.445E+25   1.148E+24
 257.200   1.444E+25   1.147E+24
 257.300   1.442E+25   1.146E+24
 257.400   1.441E+25   1.145E+24
 257.500   1.440E+25   1.144E+24
 257.600   1.439E+25   1.142E+24
 257.700   1.438E+25   1.141E+24
 257.800   1.437E+25   1.140E+24
 257.900   1.435E+25   1.139E+24
 258.000   1.434E+25   1.138E+24
 258.100   1.433E+25   1.137E+24
 258.200   1.432E+25   1.136E+24
 258.300   1.431E+25   1.135E+24
 258.400   1.430E+25   1.133E+24
 258.500   1.429E+25   1.132E+24
 258.600   1.427E+25   1.131E+24
 258.700   1.426E+25   1.130E+24
 258.800   1.425E+25   1.129E+24
 258.900   1.424E+25   1.128E+24
 259.000   1.423E+25   1.127E+24
 259.100   1.422E+25   1.126E+24
 259.200   1.421E+25   1.125E+24
 259.300   1.420E+25   1.123E+24
 259.400   1.418E+25   1.122E+24
 259.500   1.417E+25   1.121E+24
 259.600   1.416E+25   1.120E+24
 259.700   1.415E+25   1.119E+24
 259.800   1.414E+25   1.118E+24
 259.900   1.413E+25   1.117E+24
 260.000   1.412E+25   1.116E+24
 260.100   1.410E+25   1.115E+24
 260.200   1.409E+25   1.114E+24
 260.300   1.408E+25   1.113E+24
 260.400   1.407E+25   1.111E+24
 260.500   1.406E+25   1.110E+24
 260.600   1.405E+25   1.109E+24
 260.700   1.404E+25   1.108E+24
 260.800   1.403E+25   1.107E+24
 260.900   1.402E+25   1.106E+24
 261.000   1.400E+25   1.105E+24
 261.100   1.399E+25   1.104E+24
 261.200   1.398E+25   1.103E+24
 261.300   1.397E+25   1.102E+24
 261.400   1.396E+25   1.101E+24
 261.500   1.395E+25   1.100E+24
 261.600   1.394E+25   1.098E+24
 261.700   1.393E+25   1.097E+24
 261.800   1.391E+25   1.096E+24
 261.900   1.390E+25   1.095E+24
 262.000   1.389E+25   1.094E+24
 262.100   1.388E+25   1.093E+24
 262.200   1.387E+25   1.092E+24
 262.300   1.386E+25   1.091E+24
 262.400   1.385E+25   1.090E+24
 262.500   1.384E+25   1.089E+24
 262.600   1.383E+25   1.088E+24
 262.700   1.382E+25   1.087E+24
 262.800   1.380E+25   1.086E+24
 262.900   1.379E+25   1.085E+24
 263.000   1.378E+25   1.084E+24
 263.100   1.377E+25   1.083E+24
 263.200   1.376E+25   1.081E+24
 263.300   1.375E+25   1.080E+24
 263.400   1.374E+25   1.079E+24
 263.500   1.373E+25   1.078E+24
 263.600   1.372E+25   1.077E+24
 263.700   1.371E+25   1.076E+24
 263.800   1.369E+25   1.075E+24
 263.900   1.368E+25   1.074E+24
 264.000   1.367E+25   1.073E+24
 264.100   1.366E+25   1.072E+24
 264.200   1.365E+25   1.071E+24
 264.300   1.364E+25   1.070E+24
 264.400   1.363E+25   1.069E+24
 264.500   1.362E+25   1.068E+24
 264.600   1.361E+25   1.067E+24
 264.700   1.360E+25   1.066E+24
 264.800   1.359E+25   1.065E+24
 264.900   1.358E+25   1.064E+24
 265.000   1.356E+25   1.063E+24
 265.100   1.355E+25   1.062E+24
 265.200   1.354E+25   1.061E+24
 265.300   1.353E+25   1.060E+24
 265.400   1.352E+25   1.059E+24
 265.500   1.351E+25   1.058E+24
 265.600   1.350E+25   1.057E+24
 265.700   1.349E+25   1.056E+24
 265.800   1.348E+25   1.055E+24
 265.900   1.347E+25   1.053E+24
 266.000   1.346E+25   1.052E+24
 266.100   1.345E+25   1.051E+24
 266.200   1.344E+25   1.050E+24
 266.300   1.343E+25   1.049E+24
 266.400   1.341E+25   1.048E+24
 266.500   1.340E+25   1.047E+24
 266.600   1.339E+25   1.046E+24
 266.700   1.338E+25   1.045E+24
 266.800   1.337E+25   1.044E+24
 266.900   1.336E+25   1.043E+24
 267.000   1.335E+25   1.042E+24
 267.100   1.334E+25   1.041E+24
 267.200   1.333E+25   1.040E+24
 267.300   1.332E+25   1.039E+24
 267.400   1.331E+25   1.038E+24
 267.500   1.330E+25   1.037E+24
 267.600   1.329E+25   1.036E+24
 267.700   1.328E+25   1.035E+24
 267.800   1.327E+25   1.034E+24
 267.900   1.326E+25   1.033E+24
 268.000   1.325E+25   1.032E+24
 268.100   1.323E+25   1.031E+24
 268.200   1.322E+25   1.030E+24
 268.300   1.321E+25   1.029E+24
 268.400   1.320E+25   1.028E+24
 268.500   1.319E+25   1.027E+24
 268.600   1.318E+25   1.026E+24
 268.700   1.317E+25   1.025E+24
 268.800   1.316E+25   1.024E+24
 268.900   1.315E+25   1.023E+24
 269.000   1.314E+25   1.022E+24
 269.100   1.313E+25   1.021E+24
 269.200   1.312E+25   1.020E+24
 269.300   1.311E+25   1.020E+24
 269.400   1.310E+25   1.019E+24
 269.500   1.309E+25   1.018E+24
 269.600   1.308E+25   1.017E+24
 269.700   1.307E+25   1.016E+24
 269.800   1.306E+25   1.015E+24
 269.900   1.305E+25   1.014E+24
 270.000   1.304E+25   1.013E+24
 270.100   1.303E+25   1.012E+24
 270.200   1.302E+25   1.011E+24
 270.300   1.301E+25   1.010E+24
 270.400   1.300E+25   1.009E+24
 270.500   1.299E+25   1.008E+24
 270.600   1.297E+25   1.007E+24
 270.700   1.296E+25   1.006E+24
 270.800   1.295E+25   1.005E+24
 270.900   1.294E+25   1.004E+24
 271.000   1.293E+25   1.003E+24
 271.100   1.292E+25   1.002E+24
 271.200   1.291E+25   1.001E+24
 271.300   1.290E+25   1.000E+24
 271.400   1.289E+25   9.992E+23
 271.500   1.288E+25   9.982E+23
 271.600   1.287E+25   9.973E+23
 271.700   1.286E+25   9.963E+23
 271.800   1.285E+25   9.954E+23
 271.900   1.284E+25   9.944E+23
 272.000   1.283E+25   9.935E+23
 272.100   1.282E+25   9.925E+23
 272.200   1.281E+25   9.916E+23
 272.300   1.280E+25   9.906E+23
 272.400   1.279E+25   9.897E+23
 272.500   1.278E+25   9.888E+23
 272.600   1.277E+25   9.878E+23
 272.700   1.276E+25   9.869E+23
 272.800   1.275E+25   9.859E+23
 272.900   1.274E+25   9.850E+23
 273.000   1.273E+25   9.841E+23
 273.100   1.272E+25   9.831E+23
 273.200   1.271E+25   9.822E+23
 273.300   1.270E+25   9.812E+23
 273.400   1.269E+25   9.803E+23
 273.500   1.268E+25   9.794E+23
 273.600   1.267E+25   9.784E+23
 273.700   1.266E+25   9.775E+23
 273.800   1.265E+25   9.766E+23
 273.900   1.264E+25   9.757E+23
 274.000   1.263E+25   9.747E+23
 274.100   1.262E+25   9.738E+23
 274.200   1.261E+25   9.729E+23
 274.300   1.260E+25   9.720E+23
 274.400   1.259E+25   9.710E+23
 274.500   1.258E+25   9.701E+23
 274.600   1.257E+25   9.692E+23
 274.700   1.256E+25   9.683E+23
 274.800   1.255E+25   9.674E+23
 274.900   1.254E+25   9.664E+23
 275.000   1.253E+25   9.655E+23
 275.100   1.252E+25   9.646E+23
 275.200   1.251E+25   9.637E+23
 275.300   1.250E+25   9.628E+23
 275.400   1.249E+25   9.619E+23
 275.500   1.248E+25   9.609E+23
 275.600   1.247E+25   9.600E+23
 275.700   1.246E+25   9.591E+23
 275.800   1.245E+25   9.582E+23
 275.900   1.244E+25   9.573E+23
 276.000   1.243E+25   9.564E+23
 276.100   1.242E+25   9.555E+23
 276.200   1.241E+25   9.546E+23
 276.300   1.240E+25   9.537E+23
 276.400   1.239E+25   9.528E+23
 276.500   1.238E+25   9.519E+23
 276.600   1.237E+25   9.510E+23
 276.700   1.236E+25   9.501E+23
 276.800   1.236E+25   9.492E+23
 276.900   1.235E+25   9.483E+23
 277.000   1.234E+25   9.474E+23
 277.100   1.233E+25   9.465E+23
 277.200   1.232E+25   9.456E+23
 277.300   1.231E+25   9.447E+23
 277.400   1.230E+25   9.438E+23
 277.500   1.229E+25   9.429E+23
 277.600   1.228E+25   9.421E+23
 277.700   1.227E+25   9.412E+23
 277.800   1.226E+25   9.403E+23
 277.900   1.225E+25   9.394E+23
 278.000   1.224E+25   9.385E+23
 278.100   1.223E+25   9.376E+23
 278.200   1.222E+25   9.367E+23
 278.300   1.221E+25   9.359E+23
 278.400   1.220E+25   9.350E+23
 278.500   1.219E+25   9.341E+23
 278.600   1.218E+25   9.332E+23
 278.700   1.217E+25   9.323E+23
 278.800   1.216E+25   9.315E+23
 278.900   1.215E+25   9.306E+23
 279.000   1.214E+25   9.297E+23
 279.100   1.213E+25   9.288E+23
 279.200   1.212E+25   9.280E+23
 279.300   1.211E+25   9.271E+23
 279.400   1.211E+25   9.262E+23
 279.500   1.210E+25   9.254E+23
 279.600   1.209E+25   9.245E+23
 279.700   1.208E+25   9.236E+23
 279.800   1.207E+25   9.227E+23
 279.900   1.206E+25   9.219E+23
 280.000   1.205E+25   9.210E+23
 280.100   1.204E+25   9.202E+23
 280.200   1.203E+25   9.193E+23
 280.300   1.202E+25   9.184E+23
 280.400   1.201E+25   9.176E+23
 280.500   1.200E+25   9.167E+23
 280.600   1.199E+25   9.159E+23
 280.700   1.198E+25   9.150E+23
 280.800   1.197E+25   9.141E+23
 280.900   1.196E+25   9.133E+23
 281.000   1.195E+25   9.124E+23
 281.100   1.194E+25   9.116E+23
 281.200   1.194E+25   9.107E+23
 281.300   1.193E+25   9.099E+23
 281.400   1.192E+25   9.090E+23
 281.500   1.191E+25   9.082E+23
 281.600   1.190E+25   9.073E+23
 281.700   1.189E+25   9.065E+23
 281.800   1.188E+25   9.056E+23
 281.900   1.187E+25   9.048E+23
 282.000   1.186E+25   9.039E+23
 282.100   1.185E+25   9.031E+23
 282.200   1.184E+25   9.022E+23
 282.300   1.183E+25   9.014E+23
 282.400   1.182E+25   9.006E+23
 282.500   1.181E+25   8.997E+23
 282.600   1.181E+25   8.989E+23
 282.700   1.180E+25   8.980E+23
 282.800   1.179E+25   8.972E+23
 282.900   1.178E+25   8.964E+23
 283.000   1.177E+25   8.955E+23
 283.100   1.176E+25   8.947E+23
 283.200   1.175E+25   8.939E+23
 283.300   1.174E+25   8.930E+23
 283.400   1.173E+25   8.922E+23
 283.500   1.172E+25   8.914E+23
 283.600   1.171E+25   8.905E+23
 283.700   1.170E+25   8.897E+23
 283.800   1.169E+25   8.889E+23
 283.900   1.169E+25   8.881E+23
 284.000   1.168E+25   8.872E+23
 284.100   1.167E+25   8.864E+23
 284.200   1.166E+25   8.856E+23
 284.300   1.165E+25   8.848E+23
 284.400   1.164E+25   8.839E+23
 284.500   1.163E+25   8.831E+23
 284.600   1.162E+25   8.823E+23
 284.700   1.161E+25   8.815E+23
 284.800   1.160E+25   8.807E+23
 284.900   1.159E+25   8.798E+23
 285.000   1.159E+25   8.790E+23
 285.100   1.158E+25   8.782E+23
 285.200   1.157E+25   8.774E+23
 285.300   1.156E+25   8.766E+23
 285.400   1.155E+25   8.758E+23
 285.500   1.154E+25   8.750E+23
 285.600   1.153E+25   8.741E+23
 285.700   1.152E+25   8.733E+23
 285.800   1.151E+25   8.725E+23
 285.900   1.150E+25   8.717E+23
 286.000   1.150E+25   8.709E+23
 286.100   1.149E+25   8.701E+23
 286.200   1.148E+25   8.693E+23
 286.300   1.147E+25   8.685E+23
 286.400   1.146E+25   8.677E+23
 286.500   1.145E+25   8.669E+23
 286.600   1.144E+25   8.661E+23
 286.700   1.143E+25   8.653E+23
 286.800   1.142E+25   8.645E+23
 286.900   1.142E+25   8.637E+23
 287.000   1.141E+25   8.629E+23
 287.100   1.140E+25   8.621E+23
 287.200   1.139E+25   8.613E+23
 287.300   1.138E+25   8.605E+23
 287.400   1.137E+25   8.597E+23
 287.500   1.136E+25   8.589E+23
 287.600   1.135E+25   8.581E+23
 287.700   1.134E+25   8.573E+23
 287.800   1.134E+25   8.565E+23
 287.900   1.133E+25   8.558E+23
 288.000   1.132E+25   8.550E+23
 288.100   1.131E+25   8.542E+23
 288.200   1.130E+25   8.534E+23
 288.300   1.129E+25   8.526E+23
 288.400   1.128E+25   8.518E+23
 288.500   1.127E+25   8.510E+23
 288.600   1.127E+25   8.503E+23
 288.700   1.126E+25   8.495E+23
 288.800   1.125E+25   8.487E+23
 288.900   1.124E+25   8.479E+23
 289.000   1.123E+25   8.471E+23
 289.100   1.122E+25   8.463E+23
 289.200   1.121E+25   8.456E+23
 289.300   1.120E+25   8.448E+23
 289.400   1.120E+25   8.440E+23
 289.500   1.119E+25   8.432E+23
 289.600   1.118E+25   8.425E+23
 289.700   1.117E+25   8.417E+23
 289.800   1.116E+25   8.409E+23
 289.900   1.115E+25   8.401E+23
 290.000   1.114E+25   8.394E+23
 290.100   1.113E+25   8.386E+23
 290.200   1.113E+25   8.378E+23
 290.300   1.112E+25   8.371E+23
 290.400   1.111E+25   8.363E+23
 290.500   1.110E+25   8.355E+23
 290.600   1.109E+25   8.348E+23
 290.700   1.108E+25   8.340E+23
 290.800   1.107E+25   8.332E+23
 290.900   1.107E+25   8.325E+23
 291.000   1.106E+25   8.317E+23
 291.100   1.105E+25   8.310E+23
 291.200   1.104E+25   8.302E+23
 291.300   1.103E+25   8.294E+23
 291.400   1.102E+25   8.287E+23
 291.500   1.101E+25   8.279E+23
 291.600   1.101E+25   8.272E+23
 291.700   1.100E+25   8.264E+23
 291.800   1.099E+25   8.256E+23
 291.900   1.098E+25   8.249E+23
 292.000   1.097E+25   8.241E+23
 292.100   1.096E+25   8.234E+23
 292.200   1.095E+25   8.226E+23
 292.300   1.095E+25   8.219E+23
 292.400   1.094E+25   8.211E+23
 292.500   1.093E+25   8.204E+23
 292.600   1.092E+25   8.196E+23
 292.700   1.091E+25   8.189E+23
 292.800   1.090E+25   8.181E+23
 292.900   1.090E+25   8.174E+23
 293.000   1.089E+25   8.167E+23
 293.100   1.088E+25   8.159E+23
 293.200   1.087E+25   8.152E+23
 293.300   1.086E+25   8.144E+23
 293.400   1.085E+25   8.137E+23
 293.500   1.085E+25   8.129E+23
 293.600   1.084E+25   8.122E+23
 293.700   1.083E+25   8.115E+23
 293.800   1.082E+25   8.107E+23
 293.900   1.081E+25   8.100E+23
 294.000   1.080E+25   8.092E+23
 294.100   1.080E+25   8.085E+23
 294.200   1.079E+25   8.078E+23
 294.300   1.078E+25   8.070E+23
 294.400   1.077E+25   8.063E+23
 294.500   1.076E+25   8.056E+23
 294.600   1.075E+25   8.048E+23
 294.700   1.075E+25   8.041E+23
 294.800   1.074E+25   8.034E+23
 294.900   1.073E+25   8.027E+23
 295.000   1.072E+25   8.019E+23
 295.100   1.071E+25   8.012E+23
 295.200   1.070E+25   8.005E+23
 295.300   1.070E+25   7.997E+23
 295.400   1.069E+25   7.990E+23
 295.500   1.068E+25   7.983E+23
 295.600   1.067E+25   7.976E+23
 295.700   1.066E+25   7.969E+23
 295.800   1.065E+25   7.961E+23
 295.900   1.065E+25   7.954E+23
 296.000   1.064E+25   7.947E+23
 296.100   1.063E+25   7.940E+23
 296.200   1.062E+25   7.932E+23
 296.300   1.061E+25   7.925E+23
 296.400   1.061E+25   7.918E+23
 296.500   1.060E+25   7.911E+23
 296.600   1.059E+25   7.904E+23
 296.700   1.058E+25   7.897E+23
 296.800   1.057E+25   7.890E+23
 296.900   1.056E+25   7.882E+23
 297.000   1.056E+25   7.875E+23
 297.100   1.055E+25   7.868E+23
 297.200   1.054E+25   7.861E+23
 297.300   1.053E+25   7.854E+23
 297.400   1.052E+25   7.847E+23
 297.500   1.052E+25   7.840E+23
 297.600   1.051E+25   7.833E+23
 297.700   1.050E+25   7.826E+23
 297.800   1.049E+25   7.819E+23
 297.900   1.048E+25   7.812E+23
 298.000   1.048E+25   7.805E+23
 298.100   1.047E+25   7.797E+23
 298.200   1.046E+25   7.790E+23
 298.300   1.045E+25   7.783E+23
 298.400   1.044E+25   7.776E+23
 298.500   1.044E+25   7.769E+23
 298.600   1.043E+25   7.762E+23
 298.700   1.042E+25   7.755E+23
 298.800   1.041E+25   7.748E+23
 298.900   1.040E+25   7.741E+23
 299.000   1.040E+25   7.735E+23
 299.100   1.039E+25   7.728E+23
 299.200   1.038E+25   7.721E+23
 299.300   1.037E+25   7.714E+23
 299.400   1.036E+25   7.707E+23
 299.500   1.036E+25   7.700E+23
 299.600   1.035E+25   7.693E+23
 299.700   1.034E+25   7.686E+23
 299.800   1.033E+25   7.679E+23
 299.900   1.032E+25   7.672E+23
 300.000   1.032E+25   7.665E+23
 300.100   1.031E+25   7.658E+23
 300.200   1.030E+25   7.652E+23
 300.300   1.029E+25   7.645E+23
 300.400   1.028E+25   7.638E+23
 300.500   1.028E+25   7.631E+23
 300.600   1.027E+25   7.624E+23
 300.700   1.026E+25   7.617E+23
 300.800   1.025E+25   7.610E+23
 300.900   1.024E+25   7.604E+23
 301.000   1.024E+25   7.597E+23
 301.100   1.023E+25   7.590E+23
 301.200   1.022E+25   7.583E+23
 301.300   1.021E+25   7.576E+23
 301.400   1.021E+25   7.570E+23
 301.500   1.020E+25   7.563E+23
 301.600   1.019E+25   7.556E+23
 301.700   1.018E+25   7.549E+23
 301.800   1.017E+25   7.543E+23
 301.900   1.017E+25   7.536E+23
 302.000   1.016E+25   7.529E+23
 302.100   1.015E+25   7.522E+23
 302.200   1.014E+25   7.516E+23
 302.300   1.014E+25   7.509E+23
 302.400   1.013E+25   7.502E+23
 302.500   1.012E+25   7.496E+23
 302.600   1.011E+25   7.489E+23
 302.700   1.010E+25   7.482E+23
 302.800   1.010E+25   7.476E+23
 302.900   1.009E+25   7.469E+23
 303.000   1.008E+25   7.462E+23
 303.100   1.007E+25   7.456E+23
 303.200   1.007E+25   7.449E+23
 303.300   1.006E+25   7.442E+23
 303.400   1.005E+25   7.436E+23
 303.500   1.004E+25   7.429E+23
 303.600   1.004E+25   7.422E+23
 303.700   1.003E+25   7.416E+23
 303.800   1.002E+25   7.409E+23
 303.900   1.001E+25   7.403E+23
 304.000   1.000E+25   7.396E+23
 304.100   9.997E+24   7.389E+23
 304.200   9.990E+24   7.383E+23
 304.300   9.982E+24   7.376E+23
 304.400   9.974E+24   7.370E+23
 304.500   9.967E+24   7.363E+23
 304.600   9.959E+24   7.357E+23
 304.700   9.952E+24   7.350E+23
 304.800   9.944E+24   7.344E+23
 304.900   9.937E+24   7.337E+23
 305.000   9.929E+24   7.331E+23
 305.100   9.921E+24   7.324E+23
 305.200   9.914E+24   7.318E+23
 305.300   9.906E+24   7.311E+23
 305.400   9.899E+24   7.305E+23
 305.500   9.891E+24   7.298E+23
 305.600   9.884E+24   7.292E+23
 305.700   9.876E+24   7.285E+23
 305.800   9.869E+24   7.279E+23
 305.900   9.861E+24   7.272E+23
 306.000   9.854E+24   7.266E+23
 306.100   9.846E+24   7.259E+23
 306.200   9.839E+24   7.253E+23
 306.300   9.831E+24   7.247E+23
 306.400   9.824E+24   7.240E+23
 306.500   9.816E+24   7.234E+23
 306.600   9.809E+24   7.227E+23
 306.700   9.801E+24   7.221E+23
 306.800   9.794E+24   7.215E+23
 306.900   9.786E+24   7.208E+23
 307.000   9.779E+24   7.202E+23
 307.100   9.772E+24   7.196E+23
 307.200   9.764E+24   7.189E+23
 307.300   9.757E+24   7.183E+23
 307.400   9.749E+24   7.176E+23
 307.500   9.742E+24   7.170E+23
 307.600   9.734E+24   7.164E+23
 307.700   9.727E+24   7.157E+23
 307.800   9.720E+24   7.151E+23
 307.900   9.712E+24   7.145E+23
 308.000   9.705E+24   7.139E+23
 308.100   9.698E+24   7.132E+23
 308.200   9.690E+24   7.126E+23
 308.300   9.683E+24   7.120E+23
 308.400   9.676E+24   7.113E+23
 308.500   9.668E+24   7.107E+23
 308.600   9.661E+24   7.101E+23
 308.700   9.654E+24   7.095E+23
 308.800   9.646E+24   7.088E+23
 308.900   9.639E+24   7.082E+23
 309.000   9.632E+24   7.076E+23
 309.100   9.624E+24   7.070E+23
 309.200   9.617E+24   7.063E+23
 309.300   9.610E+24   7.057E+23
 309.400   9.602E+24   7.051E+23
 309.500   9.595E+24   7.045E+23
 309.600   9.588E+24   7.039E+23
 309.700   9.581E+24   7.032E+23
 309.800   9.573E+24   7.026E+23
 309.900   9.566E+24   7.020E+23
 310.000   9.559E+24   7.014E+23
 310.100   9.552E+24   7.008E+23
 310.200   9.544E+24   7.002E+23
 310.300   9.537E+24   6.996E+23
 310.400   9.530E+24   6.989E+23
 310.500   9.523E+24   6.983E+23
 310.600   9.516E+24   6.977E+23
 310.700   9.508E+24   6.971E+23
 310.800   9.501E+24   6.965E+23
 310.900   9.494E+24   6.959E+23
 311.000   9.487E+24   6.953E+23
 311.100   9.480E+24   6.947E+23
 311.200   9.473E+24   6.941E+23
 311.300   9.465E+24   6.934E+23
 311.400   9.458E+24   6.928E+23
 311.500   9.451E+24   6.922E+23
 311.600   9.444E+24   6.916E+23
 311.700   9.437E+24   6.910E+23
 311.800   9.430E+24   6.904E+23
 311.900   9.423E+24   6.898E+23
 312.000   9.415E+24   6.892E+23
 312.100   9.408E+24   6.886E+23
 312.200   9.401E+24   6.880E+23
 312.300   9.394E+24   6.874E+23
 312.400   9.387E+24   6.868E+23
 312.500   9.380E+24   6.862E+23
 312.600   9.373E+24   6.856E+23
 312.700   9.366E+24   6.850E+23
 312.800   9.359E+24   6.844E+23
 312.900   9.352E+24   6.838E+23
 313.000   9.345E+24   6.832E+23
 313.100   9.338E+24   6.826E+23
 313.200   9.331E+24   6.820E+23
 313.300   9.324E+24   6.814E+23
 313.400   9.317E+24   6.808E+23
 313.500   9.310E+24   6.802E+23
 313.600   9.303E+24   6.797E+23
 313.700   9.296E+24   6.791E+23
 313.800   9.289E+24   6.785E+23
 313.900   9.282E+24   6.779E+23
 314.000   9.275E+24   6.773E+23
 314.100   9.268E+24   6.767E+23
 314.200   9.261E+24   6.761E+23
 314.300   9.254E+24   6.755E+23
 314.400   9.247E+24   6.749E+23
 314.500   9.240E+24   6.744E+23
 314.600   9.233E+24   6.738E+23
 314.700   9.226E+24   6.732E+23
 314.800   9.219E+24   6.726E+23
 314.900   9.212E+24   6.720E+23
 315.000   9.205E+24   6.714E+23
 315.100   9.198E+24   6.708E+23
 315.200   9.191E+24   6.703E+23
 315.300   9.184E+24   6.697E+23
 315.400   9.177E+24   6.691E+23
 315.500   9.170E+24   6.685E+23
 315.600   9.164E+24   6.679E+23
 315.700   9.157E+24   6.674E+23
 315.800   9.150E+24   6.668E+23
 315.900   9.143E+24   6.662E+23
 316.000   9.136E+24   6.656E+23
 316.100   9.129E+24   6.651E+23
 316.200   9.122E+24   6.645E+23
 316.300   9.116E+24   6.639E+23
 316.400   9.109E+24   6.633E+23
 316.500   9.102E+24   6.628E+23
 316.600   9.095E+24   6.622E+23
 316.700   9.088E+24   6.616E+23
 316.800   9.081E+24   6.610E+23
 316.900   9.075E+24   6.605E+23
 317.000   9.068E+24   6.599E+23
 317.100   9.061E+24   6.593E+23
 317.200   9.054E+24   6.588E+23
 317.300   9.047E+24   6.582E+23
 317.400   9.041E+24   6.576E+23
 317.500   9.034E+24   6.570E+23
 317.600   9.027E+24   6.565E+23
 317.700   9.020E+24   6.559E+23
 317.800   9.014E+24   6.553E+23
 317.900   9.007E+24   6.548E+23
 318.000   9.000E+24   6.542E+23
 318.100   8.993E+24   6.537E+23
 318.200   8.987E+24   6.531E+23
 318.300   8.980E+24   6.525E+23
 318.400   8.973E+24   6.520E+23
 318.500   8.966E+24   6.514E+23
 318.600   8.960E+24   6.508E+23
 318.700   8.953E+24   6.503E+23
 318.800   8.946E+24   6.497E+23
 318.900   8.940E+24   6.492E+23
 319.000   8.933E+24   6.486E+23
 319.100   8.926E+24   6.480E+23
 319.200   8.920E+24   6.475E+23
 319.300   8.913E+24   6.469E+23
 319.400   8.906E+24   6.464E+23
 319.500   8.900E+24   6.458E+23
 319.600   8.893E+24   6.453E+23
 319.700   8.886E+24   6.447E+23
 319.800   8.880E+24   6.442E+23
 319.900   8.873E+24   6.436E+23
 320.000   8.866E+24   6.430E+23
 320.100   8.860E+24   6.425E+23
 320.200   8.853E+24   6.419E+23
