Galaxy,best,up unc,lo unc,16%,50%,84%
J0826,1.97,1.39,1.29,1.071034917,1.972832506,2.994859931
J0901,1.94,1.42,1.29,0.960615959,1.942371561,2.974579536
J0905,2.02,1.31,1.43,0.97073088,2.023393791,2.990780859
J0944,2.04,1.37,1.35,1.009558081,2.038367456,3.031566753
J1107,1.96,1.4,1.38,0.948657645,1.956402969,3.002187396
J1219,1.93,1.37,1.33,0.979296606,1.932921113,2.949271261
J1341,1.99,1.34,1.33,1.022829655,1.992633014,2.991509318
J1506,1.87,1.46,1.3,0.914705486,1.870170107,2.920006288
J1558,2,1.32,1.31,1.022069134,2.001210344,2.993875833
J1613,2.07,1.2,1.42,1.057837293,2.074377171,2.94936636
J2116,1.99,1.26,1.3,1.001265929,1.99070256,2.924247982
J2140,2,1.44,1.39,0.990107176,1.995744819,3.073284592
