Galaxy,best,up unc,lo unc,16%,50%,84%
J0826,0.07,0.1,0.05,0.031954544,0.069581516,0.1247013
J0901,0.11,0.1,0.08,0.060531513,0.112633861,0.178324161
J0905,0.01,0.02,0.01,0.005622347,0.012973913,0.026136513
J0944,0.37,0.13,0.13,0.285542149,0.374393498,0.460866092
J1107,0.09,0.11,0.06,0.038631945,0.086487168,0.154866439
J1219,0.48,0.25,0.24,0.321747803,0.480433997,0.642881489
J1341,0.12,0.08,0.07,0.062775108,0.115135315,0.175543843
J1506,0.25,0.14,0.16,0.132270971,0.24671901,0.346041945
J1558,0.16,0.17,0.11,0.080312624,0.16434272,0.263344782
J1613,0.98,0.33,0.34,0.755963613,0.976436952,1.220383767
J2116,0.17,0.19,0.12,0.087899441,0.17494763,0.294683653
J2140,0.37,0.2,0.19,0.238443781,0.370059343,0.505581987
