Galaxy			x			y
J0826			3630 	        4155
J0901			3934		4137
J0905			3387		3503
J0944			3478		3404
J1107			3573		3339
J1219			3801		4172
J1341			3886		4164
J1506			4147		3922
J1558			3787		4186
J1613			4175		3827
J2116			3567		3436
J2140			4067		4054
