ID		f_475		ivar_475		f_814		ivar_814		f_1600		ivar_1600		z
J1613_00	1.764157215	128.524351418	3.30045581282	36.7208009928	2.83683060148	49.7042111004	0.449
J1613_01	2.95673237313	45.7547259565	6.18618315285	10.4523620272	6.86483712232	8.48788557861	0.449
J1613_02	2.04328291085	95.8082672588	5.22660266386	14.6426951366	7.96215029827	6.30956252933	0.449
J1613_03	1.36731893416	213.953963262	3.96930105542	25.3882000685	7.80187389022	6.5714640922	0.449
J1613_04	0.957374480402	436.411611937	2.97526235647	45.1865783141	6.94622740891	8.29014251703	0.449
J1613_05	0.64007116469	976.345358818	2.24671360095	79.2436666734	5.81867651584	11.8143970989	0.449
J1613_06	0.44940189881	1980.56994873	1.72865715561	133.857359837	4.61224677002	18.8033366037	0.449
J1613_07	0.343988157459	3380.43826237	1.35763175988	217.018128061	3.47640381234	33.0978326928	0.449
J1613_08	0.271467087068	5427.82235859	1.10176730985	329.518822059	2.667115227	56.2310811345	0.449
J1613_09	0.229235193614	7611.97587727	0.973150718917	422.376527799	2.18967674864	83.4257227413	0.449
J1613_10	0.200881838233	9912.39599576	0.887478443842	507.860417042	1.9196914688	108.541825537	0.449
J1613_11	0.186896288146	11451.4014258	0.831846843056	578.06043559	1.7564928171	129.648421954	0.449
J1613_12	0.169252063553	13963.427889	0.773674236174	668.257315411	1.65730946119	145.63064467	0.449
J1613_13	0.157145797501	16197.740938	0.717659974944	776.644981216	1.55035699599	166.416569259	0.449
J1613_14	0.149433112633	17912.9166816	0.682540696076	858.623734451	1.42296250128	197.548201609	0.449
J1613_15	0.141329341833	20026.0510257	0.654664275261	933.303096454	1.28871406913	240.850111493	0.449
J1613_16	0.13614867452	21579.0914793	0.620740614259	1038.10114018	1.16939776471	292.506467213	0.449
J1613_17	0.131681123042	23068.1596177	0.574235863367	1213.0518553	1.07315465341	347.324456772	0.449
J1613_18	0.12508447076	25565.4358166	0.531808717571	1414.32457304	0.989943039475	408.168587572	0.449
J1613_19	0.115144033373	30170.1253666	0.489609823802	1668.62883816	0.924444747342	468.05627612	0.449
J1613_20	0.113732789534	30923.4975964	0.448983586895	1984.26220824	0.863854063338	536.017822979	0.449
J1613_21	0.106782345407	35080.1207884	0.402327580696	2471.15723671	0.80445057919	618.103572783	0.449
J1613_22	0.104306464189	36765.2517128	0.362417076053	3045.38838439	0.741660920633	727.192179244	0.449
J1613_23	0.100674262024	39465.997296	0.32244018644	3847.34971225	0.67080429767	888.9315462	0.449
J1613_24	0.0892774052122	50185.3402239	0.288759951707	4797.18061771	0.599365677211	1113.46418564	0.449
J1613_25	0.0782271606723	65364.9384412	0.251557753553	6320.98232307	0.53367668712	1404.44109228	0.449
J1613_26	0.0743194993141	72419.3197311	0.229006751305	7627.16988042	0.478171826304	1749.41168565	0.449
J1613_27	0.0734146280691	74215.5286721	0.201521717042	9849.54756034	0.433135871305	2132.12020798	0.449
J1613_28	0.0624777659492	102472.895434	0.193351547349	10699.5296694	0.3939092618	2577.90914263	0.449
J1613_29	0.0543484446443	135420.917408	0.169544491806	13915.3015315	0.357526478639	3129.27383194	0.449
J1613_30	0.0580380548726	118750.184704	0.151416613093	17446.68565	0.327480401976	3729.83278208	0.449
J1613_31	0.0525300800585	144958.55994	0.140620616228	20228.4216552	0.300739309101	4422.61969887	0.449
J1613_32	0.0456722652084	191758.616469	0.131609116506	23093.4088207	0.271745066485	5416.72334439	0.449
J1613_33	0.0528532999473	143191.017501	0.119227730797	28138.7910589	0.245098427132	6658.53892304	0.449
J1613_34	0.0497754888586	161446.607381	0.113430020719	31088.8006817	0.224407201126	7943.03384528	0.449
J1613_35	0.0504420547382	157207.93141	0.116353395433	29546.216003	0.206044779491	9421.86246934	0.449
J1613_36	0.048256049317	171773.618322	0.103254723626	37518.0393145	0.190986729277	10966.1355218	0.449
J1613_37	0.0455352916703	192913.99991	0.0890860034452	50401.2188406	0.177800046047	12653.0799769	0.449
J1613_38	0.0442776597154	204028.423927	0.0895799949143	49846.8735893	0.165429141125	14616.2499555	0.449
J1613_39	0.0439173166599	207390.279762	0.0891866438566	50287.5350586	0.15663631272	16303.2838182	0.449
